station,yoy_growth,zscore,flag
ST02,-0.1007106607353152,-1.6056625841006784,False
ST11,-0.06507417920746106,-1.134458248728465,False
ST10,-0.048691458055866055,-0.9178372777217779,False
ST12,-0.0404969980885288,-0.8094858104304482,False
ST06,-0.03467972869026659,-0.7325668093683835,False
ST05,-0.015811098849980776,-0.48307584387206104,False
ST15,-0.001244281367217659,-0.29046570796151266,False
ST07,0.0016282488974592724,-0.25248359928600544,False
ST08,0.020466683380748085,-0.0033918927096180575,False
ST13,0.024202178262078045,0.046000788817249234,False
ST09,0.03643506423154719,0.20775045252696156,False
ST03,0.03676846353046059,0.21215883372293518,False
ST01,0.04024685090537039,0.2581519043317822,False
ST16,0.04651519040759422,0.3410351919740857,False
ST14,0.11946940841896336,1.3056743015836458,False
ST04,0.1375219454098866,1.5443744574321265,False
ST17,0.19574889345023894,2.314281843790163,True
